departamento,clase,familia,FechaCorte,ExisUnidades,CantidadVendida
3,319,319163,2013-12-31 00:00:00,12,4
7,752,752050,2014-08-31 00:00:00,44562,142
3,302,302016,2013-06-30 00:00:00,62568954,30198
3,387,387300,2016-09-30 00:00:00,15760641,20063
7,787,787266,2013-07-31 00:00:00,442201,1139
4,416,416018,2015-01-31 00:00:00,1441708,1814
3,323,323073,2015-01-31 00:00:00,39701750,22760
8,862,862009,2016-02-29 00:00:00,63580030,25102
8,857,857020,2015-03-31 00:00:00,21371326,12582
3,316,316124,2013-03-31 00:00:00,17339056,11654
3,326,326272,2014-06-30 00:00:00,25935,197
5,540,540014,2015-07-31 00:00:00,14352817,14333
8,873,873126,2015-12-31 00:00:00,87283802,61733
5,540,540069,2014-10-31 00:00:00,19286119,18614
8,869,869020,2015-07-31 00:00:00,58199973,19244
4,413,413238,2015-12-31 00:00:00,94831024,50166
3,380,380285,2014-08-31 00:00:00,24132075,27940
1,194,194032,2016-04-30 00:00:00,3,4
2,209,209033,2014-12-31 00:00:00,15853,228
3,314,314064,2014-05-31 00:00:00,44888430,35262
4,410,410029,2016-07-31 00:00:00,68442,176
2,208,208014,2014-02-28 00:00:00,1202117,1462
2,208,208069,2013-05-31 00:00:00,3937725,2185
5,596,596067,2014-07-31 00:00:00,24843023,11891
5,501,501291,2013-05-31 00:00:00,1324795,2081
1,104,104115,2014-05-31 00:00:00,42409897,28984
4,403,403279,2014-05-31 00:00:00,231191,611
4,477,477092,2015-04-30 00:00:00,19155961,10862
1,104,104014,2015-03-31 00:00:00,54662866,34399
7,701,701216,2013-03-31 00:00:00,2754297,6172
8,847,847302,2013-11-30 00:00:00,20895,250
4,410,410029,2013-08-31 00:00:00,5628,92
5,586,586032,2014-11-30 00:00:00,25009215,26148
2,291,291060,2014-02-28 00:00:00,504,8
7,775,775258,2015-03-31 00:00:00,6948765,11338
7,748,748018,2014-02-28 00:00:00,2447678,3527
1,104,104114,2014-09-30 00:00:00,19372830,13718
8,885,885197,2013-03-31 00:00:00,3408853,3107
3,313,313064,2016-08-31 00:00:00,41674975,25119
1,102,102164,2014-06-30 00:00:00,142767451,38132
7,787,787267,2016-07-31 00:00:00,3010574,5058
1,105,105001,2013-08-31 00:00:00,35217119,23687
1,104,104015,2013-06-30 00:00:00,139976034,70397
3,318,318002,2013-04-30 00:00:00,108,3
4,418,418071,2016-06-30 00:00:00,24428211,12920
8,871,871200,2014-06-30 00:00:00,120761,404
5,586,586037,2016-01-31 00:00:00,118606,422
7,739,739070,2015-01-31 00:00:00,1423685,4158
6,647,647093,2015-12-31 00:00:00,1965521,5343
5,540,540015,2014-01-31 00:00:00,1946875,2738
8,863,863024,2013-11-30 00:00:00,612092,1240
3,312,312207,2016-08-31 00:00:00,72554141,36359
1,109,109017,2014-06-30 00:00:00,28302,95
4,403,403177,2015-04-30 00:00:00,9241948,9641
3,313,313064,2014-12-31 00:00:00,87249870,51752
3,325,325136,2015-02-28 00:00:00,18140461,12634
3,311,311317,2015-02-28 00:00:00,13972637,8161
3,384,384105,2013-11-30 00:00:00,15358801,12101
3,380,380073,2015-11-30 00:00:00,152602785,88903
3,311,311317,2013-12-31 00:00:00,12600911,6618
4,409,409104,2014-10-31 00:00:00,1257192,1032
8,869,869153,2013-11-30 00:00:00,6255878,5846
7,776,776273,2014-10-31 00:00:00,3715429,9002
6,646,646081,2016-04-30 00:00:00,27213988,36917
5,583,583032,2015-06-30 00:00:00,69142,985
8,865,865047,2013-06-30 00:00:00,9067489,5743
2,209,209001,2015-10-31 00:00:00,11052624,6494
1,106,106050,2014-04-30 00:00:00,9160426,4110
4,414,414135,2014-01-31 00:00:00,61676824,26131
8,861,861020,2013-09-30 00:00:00,73099476,39035
3,387,387299,2015-02-28 00:00:00,33844528,44987
3,387,387301,2016-08-31 00:00:00,11823404,15345
3,303,303061,2016-09-30 00:00:00,46503519,26394
4,432,432023,2016-03-31 00:00:00,980972,2184
4,401,401187,2014-07-31 00:00:00,11336417,17925
3,381,381009,2015-01-31 00:00:00,19291916,16633
4,432,432043,2013-12-31 00:00:00,55517836,44249
1,104,104020,2014-05-31 00:00:00,19767247,13196
5,596,596039,2013-07-31 00:00:00,19364337,11513
3,373,373126,2016-08-31 00:00:00,1896261,2109
5,538,538092,2016-07-31 00:00:00,108482351,46173
7,742,742013,2013-08-31 00:00:00,48397138,42240
4,414,414135,2015-03-31 00:00:00,74148162,31391
5,540,540079,2013-04-30 00:00:00,26625748,18422
1,104,104019,2014-09-30 00:00:00,49238477,27316
3,327,327077,2016-04-30 00:00:00,27064108,12221
7,751,751025,2015-04-30 00:00:00,14102360,18857
7,701,701311,2013-03-31 00:00:00,197104245,9390
1,104,104120,2013-11-30 00:00:00,32908,71
3,353,353324,2015-10-31 00:00:00,59676,302
3,316,316124,2014-11-30 00:00:00,16639444,12904
7,774,774255,2015-11-30 00:00:00,1099360,1040
7,750,750013,2016-04-30 00:00:00,7417844,6223
8,863,863047,2015-02-28 00:00:00,30205744,14888
5,541,541062,2013-09-30 00:00:00,168,11
8,863,863047,2013-12-31 00:00:00,56729860,19932
7,774,774253,2013-03-31 00:00:00,17608716,17840
8,860,860237,2014-06-30 00:00:00,3,2
7,701,701004,2016-05-31 00:00:00,9,3
4,416,416068,2014-07-31 00:00:00,10619258,10204
7,796,796034,2014-09-30 00:00:00,421903,1533
4,432,432022,2013-03-31 00:00:00,936265,1450
2,202,202089,2014-06-30 00:00:00,82091470,34030
6,645,645003,2013-05-31 00:00:00,141,16
6,645,645037,2013-07-31 00:00:00,507,20
8,868,868027,2013-09-30 00:00:00,8841784,2473
3,323,323073,2014-10-31 00:00:00,33316344,28817
7,776,776272,2016-07-31 00:00:00,5255598,8738
8,867,867289,2015-05-31 00:00:00,72277100,17101
5,541,541079,2014-08-31 00:00:00,4016382,3899
4,423,423133,2013-12-31 00:00:00,13516229,29748
8,868,868025,2015-10-31 00:00:00,57775619,19243
3,319,319163,2013-09-30 00:00:00,11,1
7,739,739107,2016-04-30 00:00:00,1498255,5275
3,318,318203,2013-08-31 00:00:00,24248171,16828
8,865,865052,2014-08-31 00:00:00,168047635,47171
1,105,105070,2013-08-31 00:00:00,3289103,3263
4,408,408034,2013-04-30 00:00:00,1450000,1110
5,585,585032,2015-03-31 00:00:00,1786018,3220
1,103,103087,2015-05-31 00:00:00,18377893,18303
3,322,322108,2013-12-31 00:00:00,884545,1717
8,885,885197,2014-11-30 00:00:00,538043,710
2,282,282071,2015-01-31 00:00:00,33579958,19255
5,501,501004,2015-06-30 00:00:00,5465469,8574
4,410,410219,2016-04-30 00:00:00,36736,146
3,315,315131,2015-09-30 00:00:00,15321661,15269
5,586,586032,2016-07-31 00:00:00,639656,2646
1,102,102025,2015-10-31 00:00:00,24780972,12281
7,787,787267,2014-11-30 00:00:00,2786520,4518
2,210,210396,2016-07-31 00:00:00,713,40
7,705,705357,2016-05-31 00:00:00,15279976,20230
7,751,751026,2013-10-31 00:00:00,33705173,30525
7,775,775260,2015-01-31 00:00:00,16494288,33588
2,290,290059,2014-01-31 00:00:00,32611776,22319
3,317,317286,2015-05-31 00:00:00,29347814,34223
6,646,646081,2014-11-30 00:00:00,10891449,21436
3,384,384104,2015-08-31 00:00:00,624,16
1,109,109017,2016-02-29 00:00:00,39037,126
2,209,209168,2015-06-30 00:00:00,444010,1010
2,201,201002,2015-03-31 00:00:00,4727200,9023
3,373,373123,2016-09-30 00:00:00,5915987,4607
2,209,209032,2013-08-31 00:00:00,3529909,4327
5,542,542025,2015-05-31 00:00:00,14570829,13456
3,310,310030,2015-09-30 00:00:00,2635014,4410
8,835,835127,2016-04-30 00:00:00,5193033,2517
8,862,862003,2015-04-30 00:00:00,145546604,48055
2,289,289003,2014-01-31 00:00:00,2,2
4,401,401188,2014-03-31 00:00:00,5469519,5661
4,410,410008,2014-07-31 00:00:00,128109,444
7,742,742304,2015-08-31 00:00:00,8005730,9765
4,401,401324,2014-11-30 00:00:00,1414145,1320
7,701,701061,2014-12-31 00:00:00,4405823,7944
4,403,403039,2013-03-31 00:00:00,378594,907
8,856,856230,2015-09-30 00:00:00,37688811,23151
3,353,353296,2015-01-31 00:00:00,127214,842
1,110,110001,2014-08-31 00:00:00,1256072,2597
3,326,326272,2016-02-29 00:00:00,222383,1039
4,403,403088,2016-05-31 00:00:00,1805007,3116
1,105,105069,2013-12-31 00:00:00,27552970,31592
1,101,101083,2014-05-31 00:00:00,213419,257
8,861,861076,2015-06-30 00:00:00,133871252,46433
5,541,541089,2013-05-31 00:00:00,17508893,14912
8,835,835129,2014-03-31 00:00:00,27195365,7510
2,208,208060,2015-12-31 00:00:00,5965354,2136
2,208,208014,2016-01-31 00:00:00,2885853,1133
8,871,871174,2014-09-30 00:00:00,176,8
4,431,431059,2013-03-31 00:00:00,183,3
3,326,326203,2014-06-30 00:00:00,254086,456
7,748,748103,2015-05-31 00:00:00,4117685,4626
1,105,105074,2016-04-30 00:00:00,93149094,44881
4,420,420063,2013-07-31 00:00:00,13163531,9354
2,209,209031,2015-02-28 00:00:00,4730,97
3,319,319190,2013-05-31 00:00:00,34505707,17874
2,209,209033,2016-08-31 00:00:00,50114,200
4,412,412065,2014-02-28 00:00:00,4912697,3303
3,322,322082,2014-08-31 00:00:00,642618,1323
2,210,210017,2014-10-31 00:00:00,155043,117
3,391,391218,2016-07-31 00:00:00,1836237,2037
1,105,105074,2014-08-31 00:00:00,67233767,45745
8,863,863254,2014-05-31 00:00:00,5697932,4576
1,194,194032,2013-03-31 00:00:00,1538,22
4,412,412150,2015-02-28 00:00:00,5462241,5142
8,885,885202,2014-02-28 00:00:00,801122,783
4,413,413214,2016-03-31 00:00:00,52421095,26069
3,313,313155,2013-06-30 00:00:00,80546844,55151
4,428,428073,2014-02-28 00:00:00,1220,10
4,416,416069,2014-03-31 00:00:00,39417,180
7,739,739320,2014-09-30 00:00:00,1827427,2650
8,865,865049,2016-02-29 00:00:00,5531444,3285
5,583,583031,2014-02-28 00:00:00,1,1
5,501,501291,2016-09-30 00:00:00,788631,1437
7,701,701216,2014-11-30 00:00:00,3656898,5857
2,209,209167,2016-01-31 00:00:00,6827987,6072
3,318,318203,2016-09-30 00:00:00,41557664,28061
7,701,701305,2015-06-30 00:00:00,288694052,132709
2,291,291059,2014-06-30 00:00:00,39536108,25323
8,862,862006,2015-01-31 00:00:00,1815103,2055
2,279,279018,2013-11-30 00:00:00,3596567,3484
4,420,420059,2015-05-31 00:00:00,21200456,15743
3,318,318073,2013-10-31 00:00:00,37727183,25961
4,401,401008,2013-03-31 00:00:00,344729,554
1,101,101002,2014-08-31 00:00:00,8632633,15909
1,101,101003,2015-12-31 00:00:00,31406935,78631
5,538,538022,2013-07-31 00:00:00,49666488,31110
7,701,701004,2014-09-30 00:00:00,89324,334
3,313,313194,2014-10-31 00:00:00,8437139,4449
3,398,398009,2015-02-28 00:00:00,8453,142
3,326,326206,2015-02-28 00:00:00,1315640,2248
4,432,432043,2015-02-28 00:00:00,19009795,12877
8,857,857009,2013-06-30 00:00:00,17039194,9622
1,110,110028,2015-09-30 00:00:00,19174349,13137
8,862,862009,2014-09-30 00:00:00,56331221,26881
5,596,596049,2015-05-31 00:00:00,164,8
6,645,645021,2015-08-31 00:00:00,1,3
8,866,866211,2014-10-31 00:00:00,12480390,9112
3,326,326083,2014-05-31 00:00:00,190323,484
8,863,863026,2014-11-30 00:00:00,37879101,22303
8,871,871174,2016-05-31 00:00:00,98,3
5,501,501072,2014-05-31 00:00:00,9450461,12307
2,291,291059,2016-02-29 00:00:00,12151221,11481
8,867,867049,2015-11-30 00:00:00,31401048,7969
4,413,413214,2014-07-31 00:00:00,57072745,33997
8,885,885202,2016-01-31 00:00:00,936650,636
3,316,316018,2015-01-31 00:00:00,3575074,1782
7,749,749001,2014-10-31 00:00:00,54275499,30083
3,302,302318,2014-02-28 00:00:00,53747758,29415
3,326,326033,2016-04-30 00:00:00,38320,282
7,752,752081,2015-04-30 00:00:00,21997780,21179
7,701,701216,2016-07-31 00:00:00,29042763,22857
2,202,202010,2015-09-30 00:00:00,3931046,2673
4,420,420092,2015-11-30 00:00:00,47704121,25273
5,596,596181,2015-01-31 00:00:00,24098015,16165
5,501,501027,2015-10-31 00:00:00,94627,224
2,289,289002,2015-04-30 00:00:00,42409033,27600
1,106,106062,2015-12-31 00:00:00,104567038,41267
1,102,102010,2014-03-31 00:00:00,33875393,24332
7,711,711376,2016-07-31 00:00:00,2738204,3834
7,742,742026,2016-05-31 00:00:00,42,14
5,541,541036,2013-12-31 00:00:00,2014587,4862
7,742,742012,2015-02-28 00:00:00,11064985,12029
1,106,106052,2015-04-30 00:00:00,97581,258
5,541,541057,2014-03-31 00:00:00,2961890,4757
3,319,319062,2014-07-31 00:00:00,76005375,26674
1,109,109033,2015-09-30 00:00:00,81861,557
3,326,326003,2015-12-31 00:00:00,12204101,13426
2,291,291055,2016-07-31 00:00:00,90309,366
8,874,874199,2014-03-31 00:00:00,5823456,4214
5,537,537306,2014-07-31 00:00:00,2900585,4601
8,871,871200,2016-02-29 00:00:00,144,6
7,742,742026,2016-02-29 00:00:00,24115980,26357
5,585,585032,2014-01-31 00:00:00,4477450,8494
2,289,289002,2015-07-31 00:00:00,33129100,29217
5,594,594185,2015-11-30 00:00:00,12390668,9080
1,104,104019,2016-05-31 00:00:00,75280311,41502
4,423,423117,2015-10-31 00:00:00,20117079,11522
3,309,309027,2016-05-31 00:00:00,175360,1156
5,541,541117,2014-05-31 00:00:00,8423928,7103
5,541,541062,2013-12-31 00:00:00,22,4
2,210,210149,2014-11-30 00:00:00,2090340,5442
8,870,870175,2013-09-30 00:00:00,6466,76
2,201,201002,2014-01-31 00:00:00,7011382,10003
1,194,194078,2015-01-31 00:00:00,6712868,5067
3,319,319064,2015-01-31 00:00:00,62972979,23878
8,871,871191,2015-08-31 00:00:00,1708,14
3,312,312150,2016-05-31 00:00:00,137848364,56263
5,595,595001,2015-10-31 00:00:00,15253569,4685
3,326,326099,2015-08-31 00:00:00,70668,340
4,418,418071,2013-05-31 00:00:00,9000875,4828
5,596,596244,2013-03-31 00:00:00,38870068,17543
4,403,403280,2015-09-30 00:00:00,602,10
7,749,749001,2016-03-31 00:00:00,63053556,43833
7,739,739320,2016-05-31 00:00:00,1379224,2057
7,739,739107,2014-11-30 00:00:00,369725,1321
7,748,748019,2015-06-30 00:00:00,7445386,7637
2,292,292067,2013-04-30 00:00:00,45703,210
3,302,302318,2016-01-31 00:00:00,28577583,14618
1,110,110080,2013-05-31 00:00:00,698223,1437
1,104,104013,2015-07-31 00:00:00,1306867,1677
2,281,281015,2013-07-31 00:00:00,6232787,3417
8,870,870201,2013-06-30 00:00:00,69667783,31747
5,583,583024,2015-04-30 00:00:00,476369,1519
4,410,410030,2016-03-31 00:00:00,501050,1083
7,701,701060,2013-08-31 00:00:00,35606,205
5,583,583080,2015-11-30 00:00:00,623345,1710
3,325,325092,2016-06-30 00:00:00,28006554,12652
8,863,863026,2016-07-31 00:00:00,31069409,17200
3,306,306189,2014-09-30 00:00:00,47273585,33199
3,312,312150,2014-09-30 00:00:00,90968550,61322
3,391,391106,2015-05-31 00:00:00,6930346,7892
3,320,320143,2016-04-30 00:00:00,31605478,14024
8,864,864211,2014-07-31 00:00:00,11133218,6053
1,102,102088,2016-02-29 00:00:00,25460181,10688
4,420,420059,2015-08-31 00:00:00,31299446,19313
5,544,544095,2014-11-30 00:00:00,35302258,33876
3,317,317205,2016-08-31 00:00:00,98979148,45196
7,701,701187,2014-09-30 00:00:00,3,1
6,645,645147,2013-04-30 00:00:00,2563,45
4,401,401291,2015-10-31 00:00:00,5352779,8013
5,596,596244,2013-06-30 00:00:00,33789076,17054
3,378,378105,2013-07-31 00:00:00,8858628,9388
3,384,384218,2013-12-31 00:00:00,10084982,11845
5,583,583032,2015-09-30 00:00:00,11752998,8632
5,596,596039,2013-04-30 00:00:00,17971943,10493
8,869,869007,2014-12-31 00:00:00,14470079,11623
1,106,106233,2015-09-30 00:00:00,231815,283
5,594,594244,2016-02-29 00:00:00,11504008,7387
5,541,541079,2016-07-31 00:00:00,5562857,5532
8,863,863047,2015-05-31 00:00:00,36798234,19230
1,104,104019,2014-12-31 00:00:00,161031520,86092
7,752,752081,2013-11-30 00:00:00,40828742,33500
7,751,751025,2016-01-31 00:00:00,16634598,17740
5,541,541062,2013-06-30 00:00:00,187,6
3,378,378104,2016-01-31 00:00:00,2659457,2470
4,416,416068,2016-06-30 00:00:00,11615311,7196
4,410,410033,2013-09-30 00:00:00,920,25
1,105,105074,2013-03-31 00:00:00,92094287,49368
1,106,106001,2016-08-31 00:00:00,167634870,44370
2,291,291059,2016-05-31 00:00:00,39956771,26081
8,868,868027,2013-06-30 00:00:00,12942228,3701
5,596,596181,2014-10-31 00:00:00,34782449,23070
1,105,105245,2013-03-31 00:00:00,22320470,18076
5,541,541070,2013-11-30 00:00:00,22092431,16543
2,209,209001,2013-11-30 00:00:00,13392637,10066
5,537,537020,2015-05-31 00:00:00,32495733,32081
7,796,796048,2015-03-31 00:00:00,153039,1557
3,314,314235,2015-07-31 00:00:00,62171951,49158
8,868,868025,2015-07-31 00:00:00,56129057,17793
5,596,596010,2014-10-31 00:00:00,26210001,13910
3,319,319163,2013-06-30 00:00:00,90,5
5,501,501291,2014-04-30 00:00:00,1053936,2379
3,380,380284,2014-12-31 00:00:00,213774826,99755
2,279,279015,2016-07-31 00:00:00,11568336,10296
1,106,106054,2016-07-31 00:00:00,17486481,20807
5,541,541021,2013-04-30 00:00:00,49763137,36982
4,423,423336,2015-12-31 00:00:00,1273987,1442
4,423,423133,2013-09-30 00:00:00,2144925,2232
5,540,540084,2014-12-31 00:00:00,289765,483
2,239,239183,2014-07-31 00:00:00,115,5
3,319,319139,2015-05-31 00:00:00,60567197,29898
3,315,315131,2015-06-30 00:00:00,23379727,18143
8,871,871200,2016-05-31 00:00:00,20,1
8,872,872006,2015-12-31 00:00:00,15433995,6614
7,703,703349,2016-05-31 00:00:00,1349043,1756
7,742,742014,2016-02-29 00:00:00,72626119,47707
7,751,751026,2013-07-31 00:00:00,31399810,28189
1,102,102025,2016-01-31 00:00:00,17592207,9741
7,701,701065,2016-09-30 00:00:00,36,16
3,322,322115,2013-09-30 00:00:00,166113,676
5,596,596195,2015-01-31 00:00:00,90555548,43223
7,752,752012,2015-10-31 00:00:00,62808493,41248
3,380,380205,2013-05-31 00:00:00,431159,599
5,594,594184,2014-10-31 00:00:00,10435075,7181
2,201,201002,2013-04-30 00:00:00,4472481,7602
5,585,585030,2014-06-30 00:00:00,106633,694
4,412,412228,2016-02-29 00:00:00,4806865,5769
5,541,541084,2015-04-30 00:00:00,4111564,6272
5,596,596048,2014-07-31 00:00:00,20763819,16400
2,209,209168,2015-09-30 00:00:00,6380503,4276
7,742,742030,2015-09-30 00:00:00,1268606,2052
7,701,701305,2016-03-31 00:00:00,188986928,98715
8,860,860130,2016-08-31 00:00:00,101483643,28834
8,870,870175,2013-06-30 00:00:00,13591123,9480
1,109,109017,2016-05-31 00:00:00,12135,56
2,289,289006,2015-08-31 00:00:00,44047451,34542
3,310,310142,2014-01-31 00:00:00,2753763,4476
2,208,208015,2015-09-30 00:00:00,19814190,3547
3,306,306189,2015-11-30 00:00:00,38952780,23979
3,322,322111,2015-07-31 00:00:00,359837,1630
3,322,322108,2013-09-30 00:00:00,761207,972
8,835,835128,2016-03-31 00:00:00,1989870,2094
8,860,860049,2015-07-31 00:00:00,390949638,110620
5,544,544095,2016-04-30 00:00:00,37415865,35051
3,353,353296,2016-06-30 00:00:00,395511,2120
8,847,847302,2016-09-30 00:00:00,5395922,3851
5,542,542038,2014-07-31 00:00:00,24776367,19810
3,326,326113,2016-02-29 00:00:00,819799,817
4,410,410220,2016-03-31 00:00:00,2411,66
3,326,326272,2016-05-31 00:00:00,24019,233
4,403,403134,2016-07-31 00:00:00,2963914,2976
3,373,373322,2015-07-31 00:00:00,2704126,3929
4,403,403088,2016-08-31 00:00:00,113007,984
2,290,290059,2014-09-30 00:00:00,56123447,31927
3,326,326205,2015-03-31 00:00:00,2687587,4171
3,316,316068,2015-12-31 00:00:00,65806217,40768
8,871,871174,2014-12-31 00:00:00,351,14
2,202,202040,2014-11-30 00:00:00,14701686,5059
3,311,311314,2015-03-31 00:00:00,50408702,27344
3,311,311314,2014-01-31 00:00:00,57753622,21915
3,326,326080,2013-12-31 00:00:00,18101653,32120
7,706,706366,2016-07-31 00:00:00,1098355,1829
4,420,420063,2013-10-31 00:00:00,12832558,10323
8,860,860050,2016-08-31 00:00:00,47522593,16529
2,211,211087,2014-07-31 00:00:00,7815045,14178
3,326,326083,2015-10-31 00:00:00,39105,303
8,864,864212,2015-05-31 00:00:00,52273480,29545
3,326,326086,2015-12-31 00:00:00,4014209,3073
8,867,867047,2014-11-30 00:00:00,64749496,18747
7,796,796165,2015-11-30 00:00:00,451962,2927
1,101,101002,2015-05-31 00:00:00,11497837,16308
3,380,380161,2015-02-28 00:00:00,10741119,12507
7,701,701104,2013-04-30 00:00:00,7214279,10748
3,380,380161,2013-12-31 00:00:00,14069143,15731
3,319,319162,2014-06-30 00:00:00,6701730,8734
7,748,748021,2015-12-31 00:00:00,3756933,3347
4,423,423073,2015-11-30 00:00:00,15181829,7709
3,315,315131,2016-08-31 00:00:00,19248579,17577
4,432,432043,2016-05-31 00:00:00,54578834,24574
4,419,419104,2014-12-31 00:00:00,239860,697
4,403,403053,2013-03-31 00:00:00,13051,92
7,751,751025,2016-07-31 00:00:00,19149365,25424
4,401,401004,2014-08-31 00:00:00,623175,2003
4,420,420083,2013-09-30 00:00:00,21387224,14051
5,586,586030,2013-03-31 00:00:00,792745,839
3,381,381100,2013-07-31 00:00:00,47478,135
1,109,109031,2014-09-30 00:00:00,1183884,1051
3,384,384105,2014-04-30 00:00:00,14662606,14322
4,418,418073,2016-09-30 00:00:00,30745896,15122
1,102,102040,2015-01-31 00:00:00,74631697,20214
8,869,869153,2014-04-30 00:00:00,6854451,4350
8,870,870200,2015-03-31 00:00:00,35826225,22037
1,110,110282,2014-01-31 00:00:00,12347456,17662
3,326,326033,2013-11-30 00:00:00,11068745,8319
4,409,409330,2014-12-31 00:00:00,13098108,30857
8,863,863026,2015-04-30 00:00:00,13680405,13059
1,100,100000,2014-12-31 00:00:00,-86625,127
8,874,874198,2014-04-30 00:00:00,83135748,18228
2,210,210028,2013-12-31 00:00:00,33080815,38602
5,586,586032,2015-05-31 00:00:00,105116,831
8,867,867047,2014-05-31 00:00:00,52273556,13927
2,201,201002,2016-05-31 00:00:00,5970926,12555
2,209,209001,2014-08-31 00:00:00,117898,372
3,311,311316,2014-07-31 00:00:00,64182772,27719
4,433,433022,2013-05-31 00:00:00,12185,41
5,543,543016,2014-09-30 00:00:00,12909479,16822
7,739,739104,2015-03-31 00:00:00,1725760,5854
3,320,320190,2014-11-30 00:00:00,32837782,21547
1,102,102183,2014-01-31 00:00:00,424596,835
7,703,703350,2016-06-30 00:00:00,7939080,9037
5,596,596065,2014-09-30 00:00:00,40053025,25064
3,316,316005,2016-04-30 00:00:00,3091486,2721
5,540,540059,2016-07-31 00:00:00,27582826,22982
4,418,418071,2016-03-31 00:00:00,16048712,10098
7,748,748019,2013-07-31 00:00:00,8934435,9399
1,106,106061,2015-10-31 00:00:00,88361559,37903
8,897,897125,2013-08-31 00:00:00,10670039,4609
4,412,412150,2014-11-30 00:00:00,12522186,10059
1,102,102067,2016-08-31 00:00:00,866412,732
3,320,320190,2013-03-31 00:00:00,19267877,14892
7,701,701320,2013-07-31 00:00:00,948151,1784
8,860,860052,2013-08-31 00:00:00,33716733,14771
8,856,856046,2014-05-31 00:00:00,6105648,4332
1,110,110030,2014-10-31 00:00:00,21798545,18021
